epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.189,2.18893,4.44064,3.33184,0.30049,0.31005,0.30007,0.23431,1.64152,2.65551,2.26926,0.000255939,0.000255939,0.000255939
2,400.198,1.29383,2.0562,2.0058,0.51101,0.64221,0.62065,0.48304,1.252,1.58672,1.72105,0.000461557,0.000461557,0.000461557
3,614.557,1.10839,1.4701,1.78029,0.62305,0.69888,0.70689,0.55209,1.15984,1.4316,1.58558,0.000616422,0.000616422,0.000616422
4,814.173,0.99496,1.23203,1.64803,0.71434,0.73795,0.77678,0.61242,1.01314,1.14866,1.41302,0.000540607,0.000540607,0.000540607
5,1022.6,0.91654,1.10531,1.56092,0.7467,0.78311,0.81118,0.64573,0.99737,1.07167,1.41271,0.000464476,0.000464476,0.000464476
6,1275.08,0.87645,1.01348,1.50519,0.79193,0.77418,0.83457,0.66118,0.96402,0.99013,1.37528,0.000388345,0.000388345,0.000388345
7,1557.53,0.84361,0.94794,1.46575,0.82609,0.76155,0.8385,0.66856,0.90133,0.92363,1.26614,0.000312214,0.000312214,0.000312214
8,1807.19,0.79696,0.88979,1.42486,0.79878,0.80212,0.86641,0.70195,0.86317,0.8497,1.23253,0.000236083,0.000236083,0.000236083
9,2055.93,0.77727,0.83612,1.40402,0.84412,0.81228,0.88141,0.71168,0.84518,0.80566,1.21082,0.000159952,0.000159952,0.000159952
10,2279.42,0.75187,0.80068,1.38112,0.84061,0.83829,0.89367,0.7325,0.81907,0.77095,1.18212,8.3821e-05,8.3821e-05,8.3821e-05
