epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.227,0.81479,1.91586,1.27695,0.73591,0.71356,0.76121,0.60752,0.86801,1.13188,1.04983,0.00333077,0.00333077,0.00333077
2,619.788,0.72254,1.1432,1.18276,0.7335,0.76336,0.81629,0.64876,0.8229,0.9777,0.99379,0.00660771,0.00660771,0.00660771
3,920.613,0.76851,1.15547,1.20944,0.78157,0.59876,0.76465,0.56159,0.97646,1.21792,1.14105,0.00982825,0.00982825,0.00982825
4,1221.7,0.77839,1.15228,1.20888,0.71329,0.76529,0.80616,0.63216,0.89948,0.98333,1.07271,0.00974615,0.00974615,0.00974615
5,1524.86,0.74479,1.06655,1.1961,0.72195,0.76796,0.80279,0.63265,0.8747,0.8936,1.06658,0.00966154,0.00966154,0.00966154
6,1827.17,0.72369,1.01963,1.18259,0.75925,0.82824,0.86014,0.69549,0.82982,0.86703,1.0075,0.00957692,0.00957692,0.00957692
7,2130.51,0.69872,0.98331,1.16944,0.8286,0.80025,0.85641,0.68204,0.85374,0.79674,1.00991,0.00949231,0.00949231,0.00949231
8,2432.06,0.69248,0.94792,1.16586,0.84503,0.80236,0.8655,0.68844,0.87241,0.80502,1.07125,0.00940769,0.00940769,0.00940769
9,2731.28,0.68092,0.91978,1.15341,0.82792,0.8394,0.88889,0.72485,0.81747,0.78001,0.99062,0.00932308,0.00932308,0.00932308
10,3034.82,0.67693,0.9181,1.14996,0.83921,0.8321,0.88791,0.70779,0.91002,0.88421,1.10278,0.00923846,0.00923846,0.00923846
11,3338.07,0.66917,0.90436,1.14797,0.8405,0.82621,0.88857,0.72333,0.80778,0.75144,0.98657,0.00915385,0.00915385,0.00915385
12,3643.37,0.64834,0.87332,1.13372,0.84985,0.84474,0.89603,0.73284,0.80228,0.69737,0.9598,0.00906923,0.00906923,0.00906923
13,3947.25,0.64506,0.86525,1.13458,0.86204,0.8384,0.90939,0.73673,0.78058,0.69696,0.93676,0.00898462,0.00898462,0.00898462
14,4247.05,0.6401,0.85403,1.13199,0.84283,0.85361,0.90205,0.73357,0.76849,0.68948,0.94305,0.0089,0.0089,0.0089
